URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
136331,296,30.91,C,2018
106954,312,33.16,C+,2018
140646,436,28.72,C,2018
134574,0,,,2018
138337,337,30.13,C,2018
131122,1,,,2018
107163,225,42.25,B+,2018
139101,175,33.43,C+,2018
140940,173,35.33,B-,2018
140547,149,26.11,C-,2018
107139,367,34.49,C+,2018
138841,294,36.07,B-,2018
107140,549,35.28,B-,2018
144886,886,25.47,C-,2018
138545,219,28.32,C-,2018
138361,394,32.75,C+,2018
107166,200,42.52,B+,2018
131895,157,26.51,C-,2018
139167,325,36.31,B-,2018
138069,428,38.89,B,2018
130531,5193,18.75,D,2018
139695,207,22.7,D+,2018
142605,100,17.31,D-,2018
145173,24,19.05,D,2018
143112,204,29.94,C,2018
139975,271,35.35,B-,2018
143114,144,28.47,C,2018
142031,5,,,2018
138087,228,26.57,C-,2018
107439,319,33.22,C+,2018
135367,249,22.87,D+,2018
130532,3996,19.42,D,2018
140204,128,30.48,C,2018
107455,246,41.57,B,2018
142825,106,23.43,D+,2018
107413,238,28.8,C,2018
134140,34,29.52,C,2018
135866,212,32.21,C+,2018
130909,254,32.52,C+,2018
141002,115,23.12,D+,2018
136189,31,,,2018
136962,145,31.91,C+,2018
139982,247,18.55,D,2018
107440,280,24.59,D+,2018
136905,396,34.27,C+,2018
142590,207,33.32,C+,2018
107460,128,32.76,C+,2018
142681,90,31.05,C,2018
139995,191,22.3,D+,2018
130245,2,,,2018
132217,107,26.15,C-,2018
143113,15,25.07,C-,2018
130534,766,,,2018
140569,418,29.77,C,2018
107428,140,27.31,C-,2018
137576,50,22.33,D+,2018
107395,240,32.01,C+,2018
142761,82,31.36,C,2018
136198,40,28.38,C,2018
136604,299,29.44,C,2018
107562,120,25.59,C-,2018
130535,1599,12.94,E+,2018
107585,10,32.3,C+,2018
137036,237,21.11,D,2018
137444,173,27.82,C-,2018
107583,58,26.3,C-,2018
141307,170,25.89,C-,2018
107563,20,,,2018
137521,261,28.05,C-,2018
139182,263,34.75,C+,2018
139433,107,,,2018
136788,328,35.71,B-,2018
107564,28,19.94,D,2018
136094,275,31.54,C,2018
137424,240,28.04,C-,2018
130538,2375,37.46,B-,2018
136283,531,33.34,C+,2018
130539,2477,31.67,C+,2018
107791,76,37.2,B-,2018
130537,3212,,,2018
107756,105,28.33,C-,2018
137352,204,29.21,C,2018
141470,172,24.88,D+,2018
136674,363,25.47,C-,2018
137083,319,35.45,B-,2018
108058,189,24.74,D+,2018
108057,291,30.35,C,2018
108083,255,29.78,C,2018
144809,2,,,2018
108091,203,33.93,C+,2018
143238,160,33,C+,2018
108059,9,,,2018
137065,60,,,2018
144588,157,28.15,C-,2018
138304,79,24.29,D+,2018
141940,864,29.1,C,2018
108117,74,30.83,C,2018
136343,351,31.7,C+,2018
108104,35,39.37,B,2018
108085,191,35.91,B-,2018
137775,251,35.21,B-,2018
139282,94,28.09,C-,2018
108055,105,25.19,C-,2018
135771,5706,20.61,D,2018
130542,935,,,2018
135935,174,25.63,C-,2018
130548,1850,32.21,C+,2018
137704,275,36.01,B-,2018
108079,152,28.8,C,2018
108075,138,29.51,C,2018
138336,214,31.66,C,2018
108076,514,34.1,C+,2018
108081,86,18.89,D,2018
139351,249,33.21,C+,2018
108064,117,27.44,C-,2018
108113,419,43.47,B+,2018
142604,112,21.2,D,2018
108088,87,26.9,C-,2018
108114,195,33.02,C+,2018
137383,337,30.68,C,2018
108300,97,33.9,C+,2018
136613,48,,,2018
136633,40,,,2018
137764,50,39.44,B,2018
139335,183,19.71,D,2018
137011,188,29.88,C,2018
144732,2209,33.58,C+,2018
136462,256,31.16,C,2018
135961,283,27.26,C-,2018
108306,194,41.89,B+,2018
108303,82,33.12,C+,2018
138951,265,29.29,C,2018
130549,3360,21.56,D,2018
108305,153,38.55,B,2018
108307,2,,,2018
113003,44,32.53,C+,2018
112939,109,23.02,D+,2018
112968,129,31.59,C,2018
112989,174,30.12,C,2018
136548,270,27.74,C-,2018
112970,150,34.91,C+,2018
130638,2832,18.63,D,2018
142405,12,,,2018
112969,278,34.13,C+,2018
112943,145,28.08,C-,2018
135074,14,23.67,D+,2018
112994,162,30.66,C,2018
112957,138,30.24,C,2018
137606,209,34.59,C+,2018
112950,213,30.98,C,2018
137350,25,,,2018
136591,236,32.28,C+,2018
136485,130,20.68,D,2018
112996,262,36.17,B-,2018
113010,68,32.07,C+,2018
137902,284,27.44,C-,2018
113007,59,34.92,C+,2018
141377,93,29.18,C,2018
136972,271,33.45,C+,2018
113009,289,42.7,B+,2018
138470,305,37.27,B-,2018
113036,18,,,2018
142741,113,24.31,D+,2018
136505,329,36.16,B-,2018
136716,143,28.3,C-,2018
144069,141,28.93,C,2018
141259,86,19.14,D,2018
113004,212,36.9,B-,2018
112933,279,28.73,C,2018
112935,89,35.37,B-,2018
137911,255,30.77,C,2018
136360,310,34.78,C+,2018
133585,4853,25.9,C-,2018
113028,60,33.02,C+,2018
113017,73,40.64,B,2018
142129,61,6.15,E-,2018
112952,202,27.74,C-,2018
135120,233,36.33,B-,2018
143934,71,,,2018
112956,339,30.89,C,2018
139051,35,,,2018
143853,51,28.41,C,2018
113044,24,,,2018
138622,150,33.07,C+,2018
112951,42,20,D,2018
138832,129,26.29,C-,2018
140698,153,30.48,C,2018
137536,252,36.69,B-,2018
137981,556,29.81,C,2018
137085,60,28.89,C,2018
136627,233,34.4,C+,2018
122854,131,29.68,C,2018
138810,91,18.45,D,2018
122867,74,29.57,C,2018
138964,116,34.45,C+,2018
122830,63,28.1,C-,2018
136291,250,33.94,C+,2018
