URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
139712,60,36,24,3.8,104,75%,15%,1,Well Above Average,1.2,102,57%,13%,3,Average,1.9,102,65%,13%,2,Above Average,52%,2%,2018
100815,20,10,10,-1.4,105,70%,30%,3,Average,-0.4,107,85%,35%,3,Average,0,105,80%,40%,3,Average,70%,15%,2018
140505,24,16,8,-0.6,99,50%,29%,3,Average,3.2,102,58%,25%,1,Well Above Average,0.6,100,54%,17%,3,Average,50%,8%,2018
115970,57,28,29,-4.2,101,58%,21%,5,Well Below Average,-4.7,101,65%,11%,5,Well Below Average,-4.1,101,63%,12%,5,Well Below Average,39%,0%,2018
118487,27,11,16,-2.3,100,59%,7%,3,Average,1.6,99,56%,7%,3,Average,-2.9,99,59%,11%,4,Below Average,59%,7%,2018
118563,28,15,13,-0.9,104,68%,25%,3,Average,-0.4,106,86%,32%,3,Average,-3.5,101,61%,7%,5,Well Below Average,50%,7%,2018
112295,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
119532,29,11,18,0.5,105,72%,21%,3,Average,1.5,106,79%,41%,3,Average,-2.2,101,62%,10%,4,Below Average,59%,7%,2018
119130,59,32,27,-1.5,104,75%,25%,3,Average,-1.4,103,71%,17%,3,Average,-2,102,63%,14%,4,Below Average,63%,3%,2018
119325,31,22,9,1.3,104,71%,26%,3,Average,0.1,106,77%,29%,3,Average,-0.9,101,55%,6%,3,Average,52%,3%,2018
119137,59,37,22,-3.3,100,53%,8%,5,Well Below Average,-0.6,101,56%,15%,3,Average,-3.1,99,58%,8%,4,Below Average,42%,3%,2018
119132,47,26,21,2.2,104,68%,30%,2,Above Average,1.2,104,68%,19%,3,Average,1.4,103,70%,15%,3,Average,55%,6%,2018
102094,85,45,40,-3,99,49%,14%,5,Well Below Average,1.1,101,54%,19%,3,Average,-2.2,99,51%,9%,4,Below Average,42%,5%,2018
140954,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
131168,47,21,26,2.6,108,96%,34%,2,Above Average,1.4,108,96%,34%,3,Average,1.9,106,87%,23%,2,Above Average,83%,9%,2018
142036,48,25,23,-1.8,104,65%,29%,4,Below Average,-0.5,105,77%,17%,3,Average,-1.6,103,71%,6%,4,Below Average,54%,2%,2018
139719,60,35,25,0.5,104,75%,35%,3,Average,1.2,107,82%,47%,3,Average,2,105,82%,30%,2,Above Average,73%,15%,2018
138790,34,21,13,-6.9,95,29%,3%,5,Well Below Average,-0.6,98,41%,9%,3,Average,-4.1,98,47%,9%,5,Well Below Average,24%,3%,2018
104874,30,12,18,1.1,106,77%,40%,3,Average,2.7,105,77%,23%,1,Well Above Average,-1.6,102,67%,20%,3,Average,67%,10%,2018
143985,11,10,1,-1.3,103,55%,27%,3,Average,-4.5,101,55%,9%,5,Well Below Average,-1.1,102,64%,9%,3,Average,36%,0%,2018
113159,26,10,16,0.7,109,81%,50%,3,Average,-0.9,108,77%,42%,3,Average,-1,106,77%,31%,3,Average,69%,27%,2018
113117,54,34,20,-0.4,105,78%,30%,3,Average,-1.4,106,78%,33%,3,Average,-1.9,103,72%,22%,4,Below Average,65%,9%,2018
142641,14,7,7,3.2,111,93%,50%,1,Well Above Average,2.2,109,86%,43%,3,Average,0.7,107,93%,29%,3,Average,86%,29%,2018
140512,6,2,4,,107,83%,33%,,NOT AVAIL,,110,83%,67%,,NOT AVAIL,,109,83%,50%,,NOT AVAIL,67%,33%,2018
124190,32,15,17,-0.6,104,66%,34%,3,Average,1.3,103,75%,16%,3,Average,-2.1,102,69%,6%,4,Below Average,53%,3%,2018
135622,60,29,31,1.5,105,77%,25%,3,Average,1,104,68%,22%,3,Average,0,103,68%,10%,3,Average,60%,0%,2018
140657,59,34,25,4.3,107,81%,36%,1,Well Above Average,3.3,108,85%,41%,1,Well Above Average,5.9,109,86%,44%,1,Well Above Average,76%,14%,2018
138893,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
110320,23,12,11,-3.5,100,43%,9%,5,Well Below Average,-0.1,100,57%,13%,3,Average,-3.9,98,48%,4%,5,Well Below Average,35%,0%,2018
106097,30,15,15,-0.4,106,83%,33%,3,Average,-0.5,107,90%,33%,3,Average,0.2,106,90%,30%,3,Average,77%,10%,2018
112254,9,3,6,5.3,112,100%,78%,1,Well Above Average,5.9,113,100%,67%,1,Well Above Average,4.8,110,100%,67%,1,Well Above Average,100%,56%,2018
144731,76,38,38,-1.4,106,80%,29%,3,Average,-0.3,106,80%,38%,3,Average,-1.4,106,84%,25%,4,Below Average,71%,16%,2018
141305,38,25,13,4.4,107,87%,42%,1,Well Above Average,1.3,104,76%,21%,3,Average,0.5,103,76%,16%,3,Average,76%,5%,2018
104327,43,19,24,1.2,107,86%,40%,3,Average,1.4,110,88%,49%,3,Average,1,107,93%,33%,3,Average,79%,16%,2018
119170,29,15,14,-1.8,107,90%,34%,3,Average,-2.2,107,93%,24%,4,Below Average,-1.9,106,79%,24%,3,Average,69%,10%,2018
118711,47,24,23,2.4,107,89%,30%,2,Above Average,2,105,79%,21%,2,Above Average,0.7,105,87%,13%,3,Average,83%,6%,2018
122763,16,8,8,3.6,111,81%,63%,1,Well Above Average,2.9,107,69%,31%,1,Well Above Average,1.9,106,94%,44%,3,Average,81%,38%,2018
112321,6,5,1,-0.5,107,67%,50%,3,Average,-2.2,107,83%,33%,3,Average,2,108,100%,33%,3,Average,67%,17%,2018
140200,18,9,9,0.6,103,72%,22%,3,Average,0.3,106,78%,33%,3,Average,-2.7,100,56%,6%,3,Average,50%,6%,2018
